Original_Name,Duplicate_Name,Latitude,Longitude,Reason,Kept_Index
Festung Landau,Festung Landau,49.2,8.1167,Exact coordinate match,307
Festung Rastatt,Festung Rastatt,48.85,8.2,Exact coordinate match,308
Zitadelle Spandau,Zitadelle Spandau,52.5333,13.2,Exact coordinate match,309
Festung Küstrin,Festung Küstrin,52.5833,14.65,Exact coordinate match,310
Festung Silberberg,Festung Silberberg,50.5833,16.65,Exact coordinate match,311
Twierdza K?odzko,Twierdza K?odzko,50.4333,16.65,Exact coordinate match,312
Twierdza Nysa,Twierdza Nysa,50.4667,17.3333,Exact coordinate match,313
Twierdza Modlin,Twierdza Modlin,52.45,20.6833,Exact coordinate match,314
Twierdza Przemy?l,Twierdza Przemy?l,49.7833,22.7667,Exact coordinate match,315
Twierdza Boyen,Twierdza Boyen,54.0333,21.7667,Exact coordinate match,316
Twierdza Pozna?,Twierdza Pozna?,52.4,16.9333,Exact coordinate match,317
Twierdza Zegrze,Twierdza Zegrze,52.4667,21.0333,Exact coordinate match,318
Akershus Fortress,Akershus Fortress,59.9069,10.7364,Exact coordinate match,324
Bohus Fortress,Bohus Fortress,57.8667,11.9833,Exact coordinate match,325
Varberg Fortress,Varberg Fortress,57.1,12.25,Exact coordinate match,326
Benten Daiba,Benten Daiba,35.6333,139.7667,Exact coordinate match,332
Cabo de Rama Fort,Cabo de Rama Fort,15.0833,74.05,Exact coordinate match,336
Corjuem Fort,Corjuem Fort,15.6667,73.9,Exact coordinate match,337
Colombo Fort,Colombo Fort,6.9333,79.8333,Exact coordinate match,338
Castillo San Felipe del Morro,Castillo San Felipe del Morro,18.4667,-66.1239,Fuzzy name match (100.00%),31
Fort de La Hougue,Fort de Tatihou,49.5833,-1.25,"Geographic proximity (0.0000°, 0.0167°)",43
Fort de Douaumont,Fort de Vaux,49.3,5.4667,"Geographic proximity (0.0167°, 0.0000°)",262
Festung Ehrenbreitstein,Festung Koblenz,50.35,7.6,"Geographic proximity (0.0167°, 0.0167°)",302
